Id,Label,weighted_avg_income,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,clustering,eigencentrality
Architecture and Engineering,Architecture and Engineering,85805.885336,25,24,49,4685365.68,4333916.61,9019282.29,2,0.96,0.979167,0.494722,0.203779,0.195517,0.039325,0,0.98,1
"Arts, Design, Entertainment, Sports, and Media","Arts, Design, Entertainment, Sports, and Media",48073.393584,25,24,49,4675883.08,4614991.96,9290875.04,2,0.96,0.979167,0.441671,0.203765,0.195858,0.039325,0,0.98,1
Building and Grounds Cleaning and Maintenance,Building and Grounds Cleaning and Maintenance,25263.939345,25,25,50,6602577.44,7034657.21,13637234.65,1,1,1,0.595732,0.203439,0.203535,0.039382,1,0.98,1
Business Operations Specialists,Business Operations Specialists,72126.391579,25,25,50,5355789.49,5011771.07,10367560.56,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
Community and Social Services,Community and Social Services,44292.417904,25,25,50,2152526.3,2304845.09,4457371.39,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
Computer and Mathematical,Computer and Mathematical,85555.948001,24,24,48,5584336.13,5405017.96,10989354.09,2,0.96,0.979167,0.350762,0.195774,0.196197,0.037847,0,0.987319,0.964061
Construction,Construction,35322.417082,25,25,50,14953149,15243170.98,30196319.98,1,1,1,0.595732,0.203439,0.203535,0.039382,1,0.98,1
"Education, Training, and Library","Education, Training, and Library",54339.551138,25,25,50,4587055.96,4419453.39,9006509.35,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
Extraction,Extraction,61749.08756,22,23,45,863116.56,826073.77,1689190.33,2,0.923077,0.958333,0.134387,0.180518,0.187885,0.03473,1,0.981884,0.880718
Financial Specialists,Financial Specialists,87173.027643,24,24,48,2781256.61,2484848.79,5266105.4,2,0.96,0.979167,0.403813,0.195787,0.195872,0.037847,0,0.98,0.964061
Food Preparation and Serving,Food Preparation and Serving,21413.937656,25,25,50,9827393.56,11423578.6,21250972.16,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
Healthcare Practitioners and Technicians,Healthcare Practitioners and Technicians,110951.429295,25,25,50,5037753.82,4115803.22,9153557.04,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
Healthcare Support,Healthcare Support,31186.377622,23,25,48,1423029.98,1330485.28,2753515.26,1,1,1,0.27508,0.188155,0.204184,0.036265,0,0.98,0.921471
"Installation, Maintenance, and Repair","Installation, Maintenance, and Repair",43386.218164,24,25,49,13542526.63,13540469.7,27082996.33,1,1,1,0.320535,0.196486,0.203831,0.037682,1,0.98,0.960766
Legal,Legal,138651.978698,24,20,44,1566994.43,365531.67,1932526.1,2,0.827586,0.895833,0.090909,0.196826,0.163477,0.037625,0,0.983696,0.962474
"Life, Physical, and Social Science","Life, Physical, and Social Science",73262.046108,25,25,50,2113919.72,1994536.47,4108456.19,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
"Management in Business, Science, and Arts","Management in Business, Science, and Arts",85950.995351,25,25,50,17279702.57,17791040.48,35070743.05,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
Office and Administrative Support,Office and Administrative Support,38754.899736,25,25,50,15825799.09,15883832.33,31709631.42,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
Personal Care and Service,Personal Care and Service,27389.672749,25,25,50,4309452.22,4407210.1,8716662.32,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
Production,Production,40550.481478,25,25,50,18226145.18,18562745.35,36788890.53,1,1,1,0.595732,0.203439,0.203535,0.039382,1,0.98,1
Protective Service,Protective Service,53931.767655,25,25,50,3832119.17,3591570.55,7423689.72,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
Sales and Related,Sales and Related,54168.59059,25,25,50,30155058.92,31073655.78,61228714.7,1,1,1,0.595732,0.203439,0.203535,0.039382,0,0.98,1
Technicians,Technicians,55608.776936,24,25,49,992364.23,783723.21,1776087.44,1,1,1,0.320535,0.196486,0.203831,0.037682,0,0.98,0.960766
Transportation and Material Moving,Transportation and Material Moving,36142.096265,25,25,50,20172111.29,19455077.02,39627188.31,1,1,1,0.595732,0.203439,0.203535,0.039382,1,0.98,1
"Farming, Fisheries, and Forestry","Farming, Fisheries, and Forestry",25580.569518,23,24,47,1349171.02,1896591.49,3245762.51,2,0.96,0.979167,0.231602,0.188526,0.195812,0.036208,1,0.98913,0.920014
